"region","s1aq1","s1aq4y","urbrur","s1aq5","s2aq3","s2aq11a29","s4aq2","s4aq40a1","s4aq43m","s4aq49","s4aq55a","s4gq13c","hhid","s3aq23hhid","education_rank","urban_binary","abv_avg_wage"
"ASHANTI","Female",4,"Urban",NA,"Kindergarten",150,NA,NA,NA,NA,729.655004205214,NA,123713,1,2,1,"High"
"WESTERN","Male",29,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",303811,2,4,0,"High"
"BONO EAST","Male",32,"Rural","Never married","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,542221,10,0,0,"High"
"EASTERN","Male",7,"Urban",NA,"Primary",NA,NA,NA,NA,NA,704.84499041006,NA,319510,1,3,1,"Low"
"SAVANNAH","Male",11,"Urban",NA,"Primary",200,NA,NA,NA,NA,704.84499041006,NA,748915,1,3,1,"Low"
"BONO","Female",41,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,"No",638904,NA,4,0,"Low"
"NORTHERN","Female",30,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Service and sales workers",3,NA,660.672413793103,NA,147913,1,0,0,"Low"
"BONO","Female",15,"Rural","Never married","JSS/JHS",400,NA,"Elementary occupations",0,NA,464.756097560976,NA,538503,80,4,0,"Low"
"AHAFO","Male",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,134212,2,NA,1,"Low"
"ASHANTI","Female",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,729203,1,NA,0,"Low"
"UPPER EAST","Male",26,"Urban","Never married","SSS/SHS",NA,6,"Craft and related trades workers",0,NA,267.5,NA,154908,1,6,1,"Low"
"VOLTA","Female",64,"Rural","Never married","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",217001,1,0,0,"High"
"WESTERN NORTH","Male",21,"Rural","Never married","Tertiary - HND",3500,NA,NA,NA,NA,1151.30769230769,NA,133016,1,11,0,"High"
"CENTRAL","Male",7,"Urban",NA,"Primary",150,NA,NA,NA,NA,704.84499041006,NA,306304,1,3,1,"Low"
"EASTERN","Female",26,"Rural","Informal/living together","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,521005,10,4,0,"High"
"NORTH EAST","Male",3,"Rural",NA,"No Formal Education",0,NA,NA,NA,NA,821.77145438121,NA,252601,1,0,0,"High"
"SAVANNAH","Male",9,"Rural",NA,"Primary",80,NA,"Skilled agricultural, forestry and fishery workers",1,NA,889,NA,451010,1,3,0,"High"
"SAVANNAH","Male",3,"Urban",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,249306,1,0,1,"High"
"CENTRAL","Female",34,"Urban","Informal/living together","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,204710,1,4,1,"Low"
"GREATER ACCRA","Female",36,"Urban","Married (Civil/Ordinance)","Tertiary - Bachelor's Degree",0,5,"Professionals",0,"Yes",1000,"Yes",510902,10,12,1,"High"
"UPPER WEST","Male",38,"Rural","Never married","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,459611,1,0,0,"High"
"GREATER ACCRA","Male",1,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,313111,1,NA,1,"Low"
"CENTRAL","Female",10,"Rural",NA,"Primary",230,NA,NA,NA,NA,704.84499041006,NA,108113,NA,3,0,"Low"
"CENTRAL","Male",57,"Urban","Married (Civil/Ordinance)","Middle",NA,NA,"Craft and related trades workers",0,NA,267.5,"No",305519,1,5,1,"Low"
"SAVANNAH","Female",62,"Rural","Widowed","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",650221,1,0,0,"High"
"VOLTA","Female",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,614507,1,NA,1,"Low"
"ASHANTI","Female",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,126406,NA,NA,1,"Low"
"CENTRAL","Male",68,"Urban","Married (Civil/Ordinance)","Tertiary - Bachelor's Degree",NA,NA,NA,NA,NA,1823.08021656255,NA,305402,1,12,1,"High"
"EASTERN","Female",52,"Urban","Widowed","Postmiddle/secondary certificate",NA,NA,"Craft and related trades workers",0,NA,267.5,"No",320316,NA,9,1,"Low"
"GREATER ACCRA","Male",6,"Urban",NA,"Kindergarten",400,NA,NA,NA,NA,729.655004205214,NA,710513,1,2,1,"High"
"CENTRAL","Male",12,"Urban","Never married","Primary",40,NA,NA,NA,NA,704.84499041006,NA,105308,1,3,1,"Low"
"EASTERN","Female",32,"Rural","Never married","JSS/JHS",NA,NA,"Craft and related trades workers",8,NA,267.5,NA,422418,3,4,0,"Low"
"EASTERN","Female",32,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,220805,1,4,0,"Low"
"EASTERN","Male",70,"Rural","Married (Customary/Traditional)","Middle",NA,7,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,422717,1,5,0,"High"
"NORTH EAST","Female",46,"Urban","Married (Islamic)","Primary",NA,NA,"Craft and related trades workers",0,NA,267.5,"No",651811,1,3,1,"Low"
"VOLTA","Male",37,"Urban","Informal/living together","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,414516,1,4,1,"High"
"BONO EAST","Female",22,"Urban","Never married","SSS/SHS",NA,NA,"Craft and related trades workers",7,NA,267.5,NA,539508,10,6,1,"Low"
"BONO","Female",22,"Rural","Married (Islamic)","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",6,NA,889,NA,438101,NA,4,0,"High"
"UPPER WEST","Male",10,"Rural",NA,"Kindergarten",270,NA,NA,NA,NA,729.655004205214,NA,759414,1,2,0,"High"
"OTI","Female",38,"Rural","Informal/living together","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",743615,3,4,0,"High"
"NORTHERN","Female",1,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,346820,1,NA,0,"Low"
"OTI","Male",28,"Rural","Never married","Tertiary - Post graduate certificate / diploma",NA,5,"Professionals",0,"Yes",0,NA,344709,1,13,0,"Low"
"GREATER ACCRA","Female",0,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,511502,10,NA,1,"Low"
"BONO EAST","Female",3,"Rural",NA,"Kindergarten",300,NA,NA,NA,NA,729.655004205214,NA,442010,1,2,0,"High"
"NORTH EAST","Male",43,"Urban","Married (Islamic)","Primary",NA,6,"Plant and machine operators, and assemblers",0,"No",1200,"No",251708,1,3,1,"High"
"AHAFO","Female",12,"Urban","Never married","JSS/JHS",700,NA,"Elementary occupations",1,NA,464.756097560976,NA,133104,1,4,1,"Low"
"NORTH EAST","Female",63,"Rural","Widowed","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,253008,1,0,0,"High"
"OTI","Female",67,"Urban","Widowed","Primary",NA,NA,NA,NA,NA,704.84499041006,NA,342407,2,3,1,"Low"
"UPPER EAST","Female",43,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",5,NA,889,NA,556114,10,0,0,"High"
"AHAFO","Male",16,"Urban","Never married","JSS/JHS",500,NA,NA,NA,NA,618.119080643605,NA,534108,10,4,1,"Low"
"BONO","Female",19,"Urban","Never married","Tertiary - Bachelor's Degree",500,NA,NA,NA,NA,1823.08021656255,NA,136208,NA,12,1,"High"
"NORTH EAST","Female",23,"Rural","Married (Islamic)","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",752613,1,4,0,"High"
"BONO EAST","Female",43,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Service and sales workers",7,NA,660.672413793103,NA,342108,NA,4,0,"Low"
"NORTH EAST","Male",12,"Rural","Never married","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,352804,NA,0,0,"High"
"NORTH EAST","Male",13,"Rural","Never married","Primary",250,NA,NA,NA,NA,704.84499041006,NA,452514,1,3,0,"Low"
"NORTHERN","Female",73,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",647513,1,0,0,"High"
"OTI","Female",9,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,444604,1,0,0,"High"
"UPPER WEST","Female",32,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Service and sales workers",12,"No",300,NA,457703,1,0,1,"Low"
"VOLTA","Male",3,"Rural",NA,"Kindergarten",450,NA,NA,NA,NA,729.655004205214,NA,618304,NA,2,0,"High"
"NORTHERN","Female",36,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Service and sales workers",0,NA,660.672413793103,"No",345314,1,0,1,"Low"
"AHAFO","Male",63,"Rural","Married (Customary/Traditional)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Yes",334609,1,5,0,"High"
"BONO","Female",18,"Urban","Never married","SSS/SHS",10,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,437308,NA,6,1,"High"
"BONO","Male",37,"Rural","Never married","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,538918,10,3,0,"High"
"AHAFO","Female",26,"Urban","Informal/living together","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",NA,NA,889,"No",333413,1,4,1,"High"
"BONO EAST","Male",7,"Rural",NA,"No Formal Education",100,NA,NA,NA,NA,821.77145438121,NA,241408,1,0,0,"High"
"ASHANTI","Male",3,"Urban",NA,"Nursery",0,NA,NA,NA,NA,681.833333333333,NA,524809,10,1,1,"Low"
"CENTRAL","Female",56,"Urban","Widowed","Primary",NA,5,"Service and sales workers",0,NA,660.672413793103,"No",704808,1,3,1,"Low"
"VOLTA","Female",28,"Urban","Informal/living together","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,114513,1,4,1,"Low"
"NORTH EAST","Female",42,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,451607,1,0,1,"High"
"BONO","Female",12,"Rural","Never married","Primary",0,NA,NA,NA,NA,704.84499041006,NA,237713,1,3,0,"Low"
"AHAFO","Male",7,"Urban",NA,"Primary",300,NA,NA,NA,NA,704.84499041006,NA,333718,1,3,1,"Low"
"NORTH EAST","Female",32,"Urban","Married (Customary/Traditional)","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,451102,1,6,1,"High"
"EASTERN","Female",8,"Rural",NA,"Kindergarten",300,NA,NA,NA,NA,729.655004205214,NA,621206,1,2,0,"High"
"CENTRAL","Male",53,"Rural","Divorced","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",607417,1,5,0,"High"
"UPPER EAST","Male",43,"Urban","Married (Islamic)","JSS/JHS",NA,NA,"Plant and machine operators, and assemblers",0,NA,561.896551724138,NA,453914,1,4,1,"Low"
"ASHANTI","Female",23,"Urban","Never married","Tertiary - Master's Degree",6500,NA,NA,NA,NA,1691.61206896552,NA,425616,1,14,1,"High"
"EASTERN","Male",21,"Urban","Never married","SSS/SHS",350,NA,NA,NA,NA,673.530203086443,NA,219815,1,6,1,"Low"
"ASHANTI","Male",54,"Urban","Married (Civil/Ordinance)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Yes",127409,1,5,1,"High"
"OTI","Male",69,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",1,NA,889,NA,444805,1,3,0,"High"
"BONO EAST","Female",18,"Rural","Informal/living together","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,441501,1,4,0,"High"
"BONO","Female",5,"Urban",NA,"Nursery",300,NA,NA,NA,NA,681.833333333333,NA,637111,1,1,1,"Low"
"BONO EAST","Male",20,"Rural","Never married","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,441504,1,4,0,"High"
"OTI","Female",3,"Urban",NA,"No Formal Education",360,NA,NA,NA,NA,821.77145438121,NA,343108,2,0,1,"High"
"SAVANNAH","Male",21,"Urban","Never married","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",749318,1,3,1,"High"
"UPPER EAST","Male",58,"Urban","Married (Customary/Traditional)","No Formal Education",NA,3,"Skilled agricultural, forestry and fishery workers",11,NA,889,"Don't Know",154416,1,0,1,"High"
"BONO EAST","Male",65,"Rural","Divorced","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,441006,1,5,0,"High"
"NORTHERN","Female",33,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",747914,1,0,0,"High"
"EASTERN","Female",0,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,123118,1,NA,0,"Low"
"NORTH EAST","Male",19,"Rural","Never married","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,352506,1,6,0,"High"
"AHAFO","Male",20,"Rural","Never married","SSS/SHS",1200,NA,NA,NA,NA,673.530203086443,NA,434918,1,6,0,"Low"
"EASTERN","Female",14,"Rural","Never married","JSS/JHS",0,NA,NA,NA,NA,618.119080643605,NA,522514,10,4,0,"Low"
"VOLTA","Male",24,"Rural","Informal/living together","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",117220,1,6,0,"High"
"CENTRAL","Male",0,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,407315,1,NA,0,"Low"
"EASTERN","Male",23,"Urban","Never married","Primary",NA,5,"Craft and related trades workers",1,"No",350,"No",119303,5,3,1,"Low"
"ASHANTI","Female",14,"Urban","Never married","Primary",450,NA,NA,NA,NA,704.84499041006,NA,323822,1,3,1,"Low"
"CENTRAL","Male",9,"Rural",NA,"Primary",80,NA,NA,NA,NA,704.84499041006,NA,108709,NA,3,0,"Low"
"WESTERN","Male",14,"Rural","Never married","Primary",120,NA,NA,NA,NA,704.84499041006,NA,703018,NA,3,0,"Low"
"EASTERN","Female",74,"Rural","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,621812,NA,0,0,"High"
"SAVANNAH","Male",19,"Urban","Never married","SSS/SHS",350,NA,"Craft and related trades workers",NA,NA,267.5,NA,349504,1,6,1,"Low"
"WESTERN NORTH","Male",36,"Rural","Informal/living together","JSS/JHS",NA,5,"Elementary occupations",3,"No",520,"Yes",231418,1,4,0,"Low"
"BONO","Female",7,"Urban",NA,"Primary",750,NA,NA,NA,NA,704.84499041006,NA,136016,1,3,1,"Low"
"CENTRAL","Female",22,"Rural","Never married","SSS/SHS",0,NA,NA,NA,NA,673.530203086443,NA,408711,NA,6,0,"Low"
"NORTHERN","Male",5,"Rural",NA,"Kindergarten",200,NA,NA,NA,NA,729.655004205214,NA,447016,1,2,0,"High"
"EASTERN","Male",41,"Rural","Informal/living together","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,423413,1,3,0,"High"
"WESTERN","Female",38,"Rural","Separated","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,103702,1,3,0,"High"
"ASHANTI","Male",27,"Urban","Never married","SSS/SHS",NA,6,"Service and sales workers",0,"No",300,"Don't Know",123602,1,6,1,"Low"
"WESTERN NORTH","Female",53,"Urban","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",5,NA,889,"No",330620,1,0,1,"High"
"VOLTA","Male",11,"Urban",NA,"Primary",150,NA,NA,NA,NA,704.84499041006,NA,615910,1,3,1,"Low"
"WESTERN NORTH","Male",28,"Rural","Divorced","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",132502,2,6,0,"High"
"VOLTA","Male",44,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,417204,1,0,0,"High"
"ASHANTI","Female",14,"Rural","Never married","JSS/JHS",0,NA,NA,NA,NA,618.119080643605,NA,128806,1,4,0,"Low"
"UPPER WEST","Female",11,"Rural",NA,"Primary",25,NA,NA,NA,NA,704.84499041006,NA,458417,1,3,0,"Low"
"VOLTA","Female",24,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,714711,NA,4,1,"Low"
"UPPER EAST","Male",30,"Urban","Married (Islamic)","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,553901,10,6,1,"High"
"UPPER WEST","Female",16,"Rural","Never married","JSS/JHS",0,NA,"Craft and related trades workers",0,NA,267.5,NA,458410,1,4,0,"Low"
"AHAFO","Female",34,"Urban","Married (Civil/Ordinance)","SSS/SHS",NA,5,"Service and sales workers",0,"Yes",1600,"Don't Know",334011,1,6,1,"High"
"WESTERN","Male",12,"Urban","Never married","Primary",NA,NA,NA,NA,NA,704.84499041006,NA,100308,1,3,1,"Low"
"BONO","Male",7,"Rural",NA,"Kindergarten",120,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,438104,NA,2,0,"High"
"ASHANTI","Male",51,"Rural","Married (Customary/Traditional)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",3,NA,889,"Don't Know",627704,1,5,0,"High"
"SAVANNAH","Female",8,"Rural",NA,"No Formal Education",0,NA,NA,NA,NA,821.77145438121,NA,250516,1,0,0,"High"
"BONO EAST","Male",19,"Rural","Never married","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,241810,1,6,0,"High"
"EASTERN","Male",21,"Rural","Never married","JSS/JHS",1020,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",722812,1,4,0,"High"
"ASHANTI","Male",3,"Urban",NA,"No Formal Education",0,NA,NA,NA,NA,821.77145438121,NA,423716,1,0,1,"High"
"NORTHERN","Male",5,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,648114,1,0,0,"High"
"ASHANTI","Female",12,"Urban","Never married","Primary",500,NA,NA,NA,NA,704.84499041006,NA,624316,1,3,1,"Low"
"AHAFO","Male",9,"Rural",NA,"Primary",200,NA,NA,NA,NA,704.84499041006,NA,335414,1,3,0,"Low"
"NORTHERN","Male",24,"Urban","Never married","Tertiary - HND",50,NA,NA,NA,NA,1151.30769230769,NA,646207,NA,11,1,"High"
"VOLTA","Female",40,"Urban","Informal/living together","JSS/JHS",NA,NA,"Service and sales workers",3,NA,660.672413793103,NA,515717,10,4,1,"Low"
"BONO","Female",41,"Rural","Informal/living together","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",6,NA,889,NA,438417,1,0,0,"High"
"NORTH EAST","Female",51,"Urban","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",251413,1,0,1,"High"
"WESTERN NORTH","Female",7,"Rural",NA,"Primary",450,NA,NA,NA,NA,704.84499041006,NA,432610,1,3,0,"Low"
"CENTRAL","Female",53,"Rural","Divorced","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,408912,1,0,0,"High"
"NORTHERN","Male",16,"Urban","Never married","JSS/JHS",80,NA,"Craft and related trades workers",11,NA,267.5,"No",646418,1,4,1,"Low"
"NORTH EAST","Male",16,"Rural","Never married","JSS/JHS",120,NA,NA,NA,NA,618.119080643605,NA,753612,1,4,0,"Low"
"GREATER ACCRA","Male",4,"Rural",NA,"Kindergarten",0,NA,NA,NA,NA,729.655004205214,NA,514407,10,2,0,"High"
"EASTERN","Male",52,"Rural","Married (Civil/Ordinance)","Middle",NA,3,"Craft and related trades workers",0,"Yes",250,"Yes",322009,NA,5,0,"Low"
"UPPER WEST","Male",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,357818,2,NA,1,"Low"
"EASTERN","Male",18,"Rural","Never married","JSS/JHS",280,NA,NA,NA,NA,618.119080643605,NA,322803,1,4,0,"Low"
"OTI","Female",8,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,644912,1,0,0,"High"
"SAVANNAH","Female",6,"Rural",NA,"No Formal Education",40,NA,NA,NA,NA,821.77145438121,NA,151008,1,0,0,"High"
"UPPER EAST","Male",15,"Rural","Never married","Primary",500,NA,NA,NA,NA,704.84499041006,NA,756601,1,3,0,"Low"
"BONO EAST","Female",12,"Urban","Never married","JSS/JHS",500,NA,NA,NA,NA,618.119080643605,NA,239607,1,4,1,"Low"
"WESTERN","Female",28,"Urban","Married (Customary/Traditional)","Tertiary - Bachelor's Degree",3000,1,"Service and sales workers",6,"Yes",600,"Yes",400102,1,12,1,"Low"
"WESTERN NORTH","Female",52,"Urban","Informal/living together","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",230815,1,5,1,"High"
"SAVANNAH","Female",4,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,250815,1,0,0,"High"
"VOLTA","Male",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,416703,1,NA,0,"Low"
"UPPER EAST","Female",15,"Rural","Never married","JSS/JHS",20,NA,NA,NA,NA,618.119080643605,NA,556421,10,4,0,"Low"
"NORTHERN","Male",17,"Rural","Never married","JSS/JHS",100,NA,NA,0,NA,618.119080643605,"No",147503,1,4,0,"Low"
"ASHANTI","Female",30,"Rural","Married (Civil/Ordinance)","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Yes",228310,NA,6,0,"High"
"AHAFO","Male",59,"Urban","Married (Customary/Traditional)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Yes",234014,1,5,1,"High"
"EASTERN","Female",31,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Service and sales workers",6,NA,660.672413793103,"No",620719,1,4,1,"Low"
"BONO EAST","Male",40,"Rural","Informal/living together","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",641520,1,6,0,"High"
"WESTERN NORTH","Female",31,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",630307,1,4,1,"High"
"GREATER ACCRA","Male",54,"Urban","Informal/living together","JSS/JHS",NA,7,"Skilled agricultural, forestry and fishery workers",0,"No",1000,NA,112904,1,4,1,"High"
"AHAFO","Male",73,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",733514,1,0,1,"High"
"SAVANNAH","Female",26,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,449606,1,0,1,"High"
"EASTERN","Female",57,"Urban","Married (Customary/Traditional)","Secondary",NA,NA,"Service and sales workers",0,NA,660.672413793103,"No",118615,2,7,1,"Low"
"BONO EAST","Female",35,"Urban","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",9,NA,889,"No",740204,1,3,1,"High"
"OTI","Female",0,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,544812,10,NA,0,"Low"
"ASHANTI","Male",48,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,6,"Plant and machine operators, and assemblers",3,"No",1500,"No",323916,1,4,1,"High"
"ASHANTI","Female",5,"Urban",NA,"Kindergarten",200,NA,NA,NA,NA,729.655004205214,NA,424302,1,2,1,"High"
"NORTHERN","Female",29,"Urban","Married (Customary/Traditional)","SSS/SHS",600,NA,NA,NA,NA,673.530203086443,NA,545408,10,6,1,"Low"
"BONO EAST","Female",9,"Rural",NA,"Primary",260,NA,"Service and sales workers",7,NA,660.672413793103,NA,742204,1,3,0,"Low"
"GREATER ACCRA","Male",16,"Urban","Never married","SSS/SHS",0,NA,NA,NA,NA,673.530203086443,NA,510811,10,6,1,"Low"
"OTI","Male",9,"Urban",NA,"Primary",200,NA,NA,NA,NA,704.84499041006,NA,742312,2,3,1,"Low"
"ASHANTI","Female",40,"Rural","Informal/living together","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Yes",229913,1,4,0,"High"
"SAVANNAH","Female",68,"Rural","Divorced","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",750109,1,0,0,"High"
"VOLTA","Female",63,"Urban","Married (Civil/Ordinance)","Secondary",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,114501,2,7,1,"Low"
"UPPER EAST","Male",13,"Rural","Never married","Primary",270,NA,NA,NA,NA,704.84499041006,NA,756716,1,3,0,"Low"
"WESTERN NORTH","Male",17,"Urban","Never married","JSS/JHS",0,NA,NA,NA,NA,618.119080643605,NA,130216,1,4,1,"Low"
"NORTHERN","Female",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,546801,10,NA,0,"Low"
"UPPER WEST","Female",87,"Urban","Widowed","Middle",NA,NA,NA,NA,NA,777.271367946636,NA,357602,1,5,1,"High"
"NORTH EAST","Male",13,"Rural","Never married","Primary",200,NA,NA,NA,NA,704.84499041006,NA,552514,80,3,0,"Low"
"BONO EAST","Male",1,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,739302,2,NA,1,"Low"
"ASHANTI","Female",14,"Rural","Never married","JSS/JHS",500,NA,NA,NA,NA,618.119080643605,NA,429911,1,4,0,"Low"
"NORTHERN","Male",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,245711,1,NA,1,"Low"
"EASTERN","Female",46,"Rural","Married (Civil/Ordinance)","JSS/JHS",NA,NA,"Craft and related trades workers",0,NA,267.5,"Don't Know",221503,NA,4,0,"Low"
"GREATER ACCRA","Female",72,"Rural","Married (Civil/Ordinance)","Middle",NA,NA,NA,NA,NA,777.271367946636,NA,513717,80,5,0,"High"
"OTI","Male",3,"Rural",NA,NA,120,NA,NA,NA,NA,550,NA,743916,1,NA,0,"Low"
"OTI","Male",13,"Urban","Never married","Primary",0,NA,"Service and sales workers",0,NA,660.672413793103,NA,542913,10,3,1,"Low"
"EASTERN","Male",0,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,522909,10,NA,0,"Low"
"CENTRAL","Female",33,"Urban","Married (Islamic)","SSS/SHS",NA,NA,"Service and sales workers",5,NA,660.672413793103,"Yes",706018,1,6,1,"Low"
"UPPER WEST","Male",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,659609,NA,NA,0,"Low"
"NORTHERN","Male",0,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,446208,1,NA,1,"Low"
"WESTERN","Male",13,"Rural","Never married","JSS/JHS",500,NA,NA,NA,NA,618.119080643605,NA,603304,1,4,0,"Low"
"WESTERN NORTH","Female",38,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",1,NA,889,NA,133002,1,3,0,"High"
"EASTERN","Female",4,"Rural",NA,"No Formal Education",100,NA,NA,NA,NA,821.77145438121,NA,322803,1,0,0,"High"
"BONO EAST","Male",6,"Rural",NA,"Kindergarten",20,NA,NA,NA,NA,729.655004205214,NA,541610,10,2,0,"High"
"WESTERN","Male",17,"Rural","Never married","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,204012,NA,4,0,"Low"
"UPPER EAST","Female",18,"Rural","Never married","JSS/JHS",NA,NA,"Craft and related trades workers",1,NA,267.5,NA,456707,2,4,0,"Low"
